research_id,index_ai_intro_date,index_ai_intro_month,membership_tenure_days_at_index,ai_intro_count_total,ai_intro_count_first_30d,ai_intro_count_first_60d,ai_intro_count_first_90d,unique_members_introduced_count,matching_cycles_participated,first_vs_recurring_intro,average_group_size,repeat_match_count,repeat_match_rate,average_pair_score,median_pair_score,minimum_pair_score,maximum_pair_score,average_ai_correlation_score,matching_source_category,matching_algorithm_version,matching_pool_size,network_density_category,intro_delivered_count,successful_delivery_rate,retained_30d,retained_60d,retained_90d,retained_120d,retained_180d,days_from_index_to_service_end,valid_access_at_analysis_date,number_of_previous_introductions
R000001,2026-09-01,2026-09,139,1,1,1,1,2,1,0,3,0,0,0.381845,0.381845,0.373486,0.390203,0.571801,ai_unified_email_engine,14,90,high_density,1,1,,,,,,,1,0
R000002,2026-09-01,2026-09,267,1,1,1,1,2,1,1,3,0,0,0.492884,0.492884,0.321398,0.664369,0.374629,ai_unified_email_engine,14,30,medium_density,1,1,,,,,,,1,4
R000003,2026-09-01,2026-09,216,1,1,1,1,2,1,1,3,0,0,0.555805,0.555805,0.444186,0.667423,0.522199,ai_unified_email_engine,14,33,medium_density,1,1,,,,,,,1,3
R000004,2026-09-01,2026-09,246,1,1,1,1,2,1,1,3,1,0.1111,0.800974,0.800974,0.788002,0.813947,0.540876,ai_unified_email_engine,14,20,low_density,1,1,,,,,,,1,4
R000005,2026-09-01,2026-09,243,1,1,1,1,2,1,1,3,0,0,0.529599,0.529599,0.526344,0.532854,0.573337,ai_unified_email_engine,14,9,very_low_density,1,1,,,,,,,1,4
R000006,2026-09-01,2026-09,341,1,1,1,1,2,1,1,3,1,0.0667,0.728338,0.728338,0.695601,0.761075,0.600968,ai_unified_email_engine,14,90,high_density,1,1,,,,,,,1,7
R000007,2026-09-01,2026-09,20,1,1,1,1,2,1,0,3,0,0,0.778136,0.778136,0.744709,0.811562,0.548044,ai_unified_email_engine,14,45,high_density,1,1,,,,,,,1,0
R000008,2026-09-01,2026-09,249,1,1,1,1,2,1,1,3,0,0,0.347474,0.347474,0.265301,0.429646,0,ai_unified_email_engine,14,20,low_density,1,1,,,,,,,1,4
R000009,2026-09-01,2026-09,28,1,1,1,1,2,1,0,3,0,0,0.825289,0.825289,0.821752,0.828826,0.6072,ai_unified_email_engine,14,69,high_density,1,1,,,,,,,1,0
R000010,2026-09-01,2026-09,287,1,1,1,1,2,1,1,3,2,0.2,0.570045,0.570045,0.569564,0.570526,0.534545,ai_unified_email_engine,14,11,low_density,1,1,,,,,,,1,5
R000011,2026-09-01,2026-09,215,1,1,1,1,2,1,1,3,0,0,0.752263,0.752263,0.713126,0.7914,0.612172,ai_unified_email_engine,14,17,low_density,1,1,,,,,,,1,2
R000012,2026-09-01,2026-09,214,1,1,1,1,2,1,1,3,0,0,0.638408,0.638408,0.530438,0.746378,0.579026,ai_unified_email_engine,14,39,high_density,1,1,,,,,,0,0,3
R000013,2026-09-01,2026-09,50,1,1,1,1,2,1,0,3,0,0,0.590949,0.590949,0.575174,0.606724,0.365872,ai_unified_email_engine,14,28,medium_density,1,1,,,,,,,1,0
R000014,2026-09-01,2026-09,145,1,1,1,1,2,1,0,3,0,0,0.796716,0.796716,0.781632,0.811799,0.554906,ai_unified_email_engine,14,17,low_density,1,1,,,,,,,1,0
R000015,2026-09-01,2026-09,356,1,1,1,1,2,1,1,3,1,0.0667,0.607023,0.607023,0.596339,0.617706,0.558415,ai_unified_email_engine,14,22,low_density,1,1,,,,,,,1,7
R000016,2026-09-01,2026-09,303,1,1,1,1,3,1,1,4,2,0.1538,0.604512,0.576817,0.451138,0.78558,0.517798,ai_unified_email_engine,14,7,very_low_density,1,1,,,,,,6,0,6
R000017,2026-09-01,2026-09,243,1,1,1,1,2,1,1,3,1,0.1111,0.783441,0.783441,0.748962,0.81792,0.585134,ai_unified_email_engine,14,42,high_density,1,1,,,,,,,1,4
R000018,2026-09-01,2026-09,147,1,1,1,1,2,1,0,3,0,0,0.620153,0.620153,0.618434,0.621871,0.60979,ai_unified_email_engine,14,8,very_low_density,1,1,,,,,,0,0,0
R000019,2026-09-01,2026-09,227,1,1,1,1,2,1,1,3,0,0,0.730413,0.730413,0.716296,0.744529,0.617,ai_unified_email_engine,14,53,high_density,1,1,,,,,,0,0,3
R000020,2026-09-01,2026-09,88,1,1,1,1,2,1,0,3,0,0,0.567636,0.567636,0.563993,0.571279,0.61128,ai_unified_email_engine,14,22,low_density,1,1,,,,,,,1,0
R000021,2026-09-01,2026-09,406,1,1,1,1,2,1,1,3,1,0.0909,0.81868,0.81868,0.817921,0.819439,0.580034,ai_unified_email_engine,14,98,high_density,1,1,,,,,,,1,5
R000022,2026-09-01,2026-09,196,1,1,1,1,2,1,1,3,1,0.2,0.576415,0.576415,0.575746,0.577083,0.540187,ai_unified_email_engine,14,17,low_density,1,1,,,,,,,1,2
R000023,2026-09-01,2026-09,318,1,1,1,1,2,1,1,3,0,0,0.566648,0.566648,0.457962,0.675334,0.542002,ai_unified_email_engine,14,23,low_density,1,1,,,,,,,1,6
R000024,2026-09-01,2026-09,84,1,1,1,1,2,1,0,3,0,0,0.803104,0.803104,0.784567,0.821641,0.540776,ai_unified_email_engine,14,53,high_density,1,1,,,,,,,1,0
R000025,2026-09-01,2026-09,302,1,1,1,1,2,1,1,3,2,0.1667,0.809807,0.809807,0.783674,0.83594,0.529578,ai_unified_email_engine,14,24,medium_density,1,1,,,,,,,1,6
R000026,2026-09-01,2026-09,303,1,1,1,1,2,1,1,3,0,0,0.579898,0.579898,0.562904,0.596892,0.637201,ai_unified_email_engine,14,8,very_low_density,1,1,,,,,,,1,4
R000027,2026-09-01,2026-09,339,1,1,1,1,2,1,1,3,0,0,0.660458,0.660458,0.587892,0.733024,0.528576,ai_unified_email_engine,14,42,high_density,1,1,,,,,,,1,7
R000028,2026-09-01,2026-09,307,1,1,1,1,2,1,1,3,0,0,0.685021,0.685021,0.632102,0.73794,0,ai_unified_email_engine,14,31,medium_density,1,1,,,,,,,1,6
R000029,2026-09-01,2026-09,174,1,1,1,1,2,1,1,3,1,0.3333,0.663531,0.663531,0.638017,0.689044,0.648651,ai_unified_email_engine,14,18,low_density,1,1,,,,,,12,0,1
R000030,2026-09-01,2026-09,353,1,1,1,1,2,1,1,3,3,0.2,0.796137,0.796137,0.789694,0.802579,0.602069,ai_unified_email_engine,14,72,high_density,1,1,,,,,,12,0,8
R000031,2026-09-01,2026-09,199,1,1,1,1,3,1,1,4,0,0,0.524645,0.478463,0.413599,0.681873,0.16919,ai_unified_email_engine,14,13,low_density,1,1,,,,,,,1,2
R000032,2026-09-01,2026-09,361,1,1,1,1,2,1,1,3,1,0.0667,0.650772,0.650772,0.642233,0.659311,0.597594,ai_unified_email_engine,14,35,medium_density,1,1,,,,,,,1,7
R000033,2026-09-01,2026-09,237,1,1,1,1,2,1,1,3,0,0,0.827006,0.827006,0.824396,0.829615,0.560328,ai_unified_email_engine,14,48,high_density,1,1,,,,,,,1,3
R000034,2026-09-01,2026-09,212,1,1,1,1,2,1,1,3,0,0,0.573787,0.573787,0.572399,0.575174,0.256088,ai_unified_email_engine,14,28,medium_density,1,1,,,,,,,1,3
R000035,2026-09-01,2026-09,378,1,1,1,1,2,1,1,3,1,0.0588,0.771925,0.771925,0.762328,0.781521,0.56805,ai_unified_email_engine,14,33,medium_density,1,1,,,,,,,1,8
R000036,2026-09-01,2026-09,321,1,1,1,1,3,1,1,4,0,0,0.30907,0.286339,0.227273,0.413599,0,ai_unified_email_engine,14,13,low_density,1,1,,,,,,,1,3
R000037,2026-09-01,2026-09,238,1,1,1,1,2,1,1,3,0,0,0.528959,0.528959,0.498868,0.55905,0.359006,ai_unified_email_engine,14,35,medium_density,1,1,,,,,,,1,4
R000038,2026-09-01,2026-09,355,1,1,1,1,2,1,1,3,0,0,0.518319,0.518319,0.510124,0.526513,0,ai_unified_email_engine,14,35,medium_density,1,1,,,,,,,1,5
R000039,2026-09-01,2026-09,356,1,1,1,1,2,1,1,3,0,0,0.744107,0.744107,0.743506,0.744709,0.486781,ai_unified_email_engine,14,45,high_density,1,1,,,,,,5,0,7
R000040,2026-09-01,2026-09,298,1,1,1,1,2,1,1,3,1,0.2,0.844032,0.844032,0.843654,0.84441,0.569977,ai_unified_email_engine,14,48,high_density,1,1,,,,,,0,0,2
R000041,2026-09-01,2026-09,44,1,1,1,1,2,1,0,3,0,0,0.792742,0.792742,0.77973,0.805753,0.555023,ai_unified_email_engine,14,31,medium_density,1,1,,,,,,,1,0
R000042,2026-09-01,2026-09,232,1,1,1,1,3,1,1,4,1,0.1667,0.257442,0.270472,0.227273,0.27458,0.35398,ai_unified_email_engine,14,7,very_low_density,1,1,,,,,,,1,2
R000043,2026-09-01,2026-09,232,1,1,1,1,2,1,1,3,1,0.1429,0.810129,0.810129,0.784781,0.835476,0.435042,ai_unified_email_engine,14,28,medium_density,1,1,,,,,,,1,3
