variable_name,description,source_system,source_field_or_derivation,data_type,allowed_values,missing_value_meaning,calculation
research_id,Random anonymised research identifier; cannot be mapped back to any member.,derived,randomised sequence,string,R000001..R999999,never missing,Fisher-Yates shuffle of eligible rows using crypto random bytes; no mapping persisted.
index_ai_intro_date,Date of the member's first verified AI-assisted introduction (email send).,neon_postgres,introduction_deliveries.sent_at (min per member),date,YYYY-MM-DD,never missing (cohort requirement),minimum sent_at of delivery rows for the member's sent AI groups.
index_ai_intro_month,Calendar month of the index introduction.,derived,index_ai_intro_date,string,YYYY-MM,never missing,first 7 characters of index_ai_intro_date.
membership_tenure_days_at_index,Days between the member's join date and the index introduction.,airtable,MEMBERS.'Date joined',integer,>= 0,"NULL = join date missing or negative tenure anomaly (flagged, set NULL).",floor((index_ai_intro_date - Date joined)/86400000).
ai_intro_count_total,Number of sent AI-assisted introduction groups the member appears in.,neon_postgres,introduction_group_members + introduction_groups (status='sent'),integer,>= 1,never missing,count of distinct sent groups containing the member.
ai_intro_count_first_30d,AI introductions received within 30 days of index.,neon_postgres,introduction_groups.sent_at,integer,>= 1,never missing,count of member's sent groups with sent_at < index + 30 days.
ai_intro_count_first_60d,AI introductions received within 60 days of index.,neon_postgres,introduction_groups.sent_at,integer,>= 1,never missing,count of member's sent groups with sent_at < index + 60 days.
ai_intro_count_first_90d,AI introductions received within 90 days of index.,neon_postgres,introduction_groups.sent_at,integer,>= 1,never missing,count of member's sent groups with sent_at < index + 90 days.
unique_members_introduced_count,Number of distinct other members the member was introduced to via AI matching.,neon_postgres,introduction_group_members,integer,>= 1,never missing,count of distinct other member record ids in the member's sent groups.
matching_cycles_participated,Number of distinct AI matching cycle identifiers (per city cycle) the member participated in.,neon_postgres,introduction_groups.cycle_id,integer,>= 1,never missing,count of distinct cycle ids across the member's sent groups (one per city in a monthly cycle).
first_vs_recurring_intro,Whether the AI introduction was the member's first ever community introduction.,airtable + neon_postgres,MATCH GROUPS history (legacy pre-AI system),integer,0 = first introduction; 1 = recurring (had >=1 legacy introduction before index),never missing,1 if member appears in any legacy Airtable MATCH GROUPS row dated before the index date; else 0.
average_group_size,Average size of the AI introduction groups the member was placed in.,neon_postgres,introduction_group_members,number,2..6,never missing,mean member count of the member's sent groups.
repeat_match_count,Number of distinct partners the member was introduced to more than once (legacy + AI history up to analysis date).,airtable + neon_postgres,MATCH GROUPS + introduction groups,integer,>= 0,never missing,per partner: legacy occurrences + AI occurrences; count partners with occurrences >= 2.
repeat_match_rate,Proportion of all distinct partners who were a repeat match.,derived,repeat_match_count,number,0..1,NULL = member has no recorded partners at all,repeat_match_count / total distinct partners.
average_pair_score,Mean stored pair score (0-1 weighted combination) for the member's co-introduced pairs.,neon_postgres,introduction_pair_scores.overall,number,0..1,NULL = no pair scores recorded for the member's groups,mean of overall scores for pair-score rows whose both member keys belong to the member's sent group.
median_pair_score,Median stored pair score for the member's co-introduced pairs.,neon_postgres,introduction_pair_scores.overall,number,0..1,NULL = no pair scores,median of the same pair scores.
minimum_pair_score,Minimum stored pair score for the member's co-introduced pairs.,neon_postgres,introduction_pair_scores.overall,number,0..1,NULL = no pair scores,min of the same pair scores.
maximum_pair_score,Maximum stored pair score for the member's co-introduced pairs.,neon_postgres,introduction_pair_scores.overall,number,0..1,NULL = no pair scores,max of the same pair scores.
average_ai_correlation_score,Mean AI (Pinecone semantic similarity) score component for the member's co-introduced pairs. Stored historical value at matching time.,neon_postgres,introduction_pair_scores.scores_json.components.ai_correlation,number,0..1,NULL = component absent in stored scores,mean of ai_correlation components for the same pair-score rows.
matching_source_category,Classification of the system that generated the member's AI introduction.,derived,introduction_runs.source/delivery_mode,string,ai_unified_email_engine,never missing,All qualifying introductions come from the unified AI-assisted email engine (production runs).
matching_algorithm_version,Version of the matching profile (weights/constraints) used for the member's run.,neon_postgres,matching_profile_versions.version via introduction_runs.matching_profile_version_id,integer,positive integer,NULL = version not recorded,profile version integer of the run that produced the member's group.
matching_pool_size,Number of eligible members in the member's city matching pool during the index cycle.,neon_postgres,introduction_runs.snapshot_json.members (length only),integer,>= 1,NULL = snapshot unavailable,length of the frozen eligible-member list in the member's city run snapshot.
